Company,Profit,Transformed MSE,Weight
DAL,0.07302033721431596,0.14679046595292117,0.012433866627388941
ROST,0.05647916158128576,0.03869266884651851,0.0032774572978713553
SYF,0.11014979817232495,0.38943421911484183,0.032986973024312714
MS,0.11525623887826679,0.4228051840095332,0.03581365610644795
GPS,0.1799247851526825,0.8454188814530685,0.0716110923691404
SNPS,0.09038156233673833,0.260247346675153,0.022044216412042187
CRM,0.09801718566770465,0.3101467057003679,0.026270934890548197
NWL,0.09004142350572561,0.25802451444372426,0.02185593170757432
WYNN,0.09637456054541407,0.29941202993544364,0.025361655627192357
AEP,0.058314641025482096,0.05068766176319556,0.004293491555643051
MU,0.09450281072229133,0.2871800074297493,0.024325543810040675
NTAP,0.06589845452006185,0.1002484397040862,0.008491530569050863
KEY,0.09898248589709117,0.3164550135654162,0.026805279257733978
WMB,0.07099105774502684,0.13352897564473692,0.01131055387882625
AES,0.11158714972376253,0.39882741702440355,0.03378262258679599
TGT,0.07008607592572294,0.12761485301776043,0.010809598919084973
DGX,0.055356893785443395,0.031358566411152866,0.0026562231399104986
LEN,0.0761447503944958,0.16720873545930565,0.014163393393016152
KMB,0.07484564442165906,0.15871898255498346,0.01344427001789392
USB,0.08791387880597676,0.24412085364049746,0.020678223993810252
TWTR,0.08072157967527692,0.19711865080997698,0.01669690874016421
POOL,0.07804643452004033,0.17963638082890637,0.015216075418480001
FOXA,0.05616842986726658,0.03666201428352012,0.003105450976897358
CZR,0.09317822387885251,0.27852373516540424,0.023592315434978823
RCL,0.14339940626717002,0.6067228489826535,0.0513923771211357
IVZ,0.08852618996160906,0.24812235199442073,0.0210171703723738
AAL,0.10404340786734859,0.3495285101807231,0.029606765329370375
ROL,0.0516610992386317,0.007206277726759414,0.0006104067832524446
AOS,0.05972267200746113,0.059889247598821915,0.005072910643237905
IP,0.06278102322462582,0.07987579732706668,0.00676586864326479
APTV,0.05245166905612307,0.012372709522512737,0.0010480286919430342
PWR,0.06948269415162969,0.12367170882773137,0.010475595422106434
GM,0.05359677914710714,0.01985608803356087,0.0016819072597682987
CMA,0.0514576279069894,0.005876577636947211,0.0004977747164228823
IPGP,0.05748683528668769,0.04527789048810987,0.0038352576091640715
FRT,0.08190000428517039,0.20481974214783133,0.017349228643630775
XOM,0.07496996183069662,0.15953140594961218,0.01351308623200025
PNW,0.05122966787306604,0.004386842079928566,0.00037158686692052026
NVDA,0.0673961745370604,0.11003614996794536,0.009320597247314436
VLO,0.0815690671889449,0.2026570439287681,0.017166037582572707
INCY,0.05615233437990844,0.03655682909200969,0.003096541279432153
AZO,0.051139432213261136,0.003797145418593606,0.0003216366907285118
PNC,0.07019963181199104,0.12835694907105033,0.010872458065225143
NXPI,0.20357886044265533,1.0,0.08470486517412341
LH,0.11091525633999991,0.3944365444355123,0.03341069431615721
PSX,0.05259322330938465,0.013297776959561414,0.0011263864044752142
BAC,0.08487020551763322,0.22423022525465602,0.01899339099815896
BBY,0.05483099843457728,0.02792180168545777,0.002365112447185312
C,0.0761696937751368,0.1673717422829739,0.014177200864037436
DISH,0.11246150874045953,0.40454141738821875,0.034266626217217856
TER,0.07745849780168926,0.17579417121202706,0.01489062157091152
FOX,0.07364080886402866,0.1508452937347498,0.012777330267953026
UAL,0.124811362419221,0.48524861782412626,0.04110291874872235
DVN,0.05816858087078073,0.04973314792944422,0.004212639590048308
TPR,0.06181785951382117,0.07358145176780012,0.006232706951307774
SNA,0.050558391239675995,0.0,0.0
IPG,0.06134339727594729,0.07048080621139086,0.005970067187499382
MET,0.10668365851211359,0.3667827419741359,0.031068282707114477
HAL,0.06800688146277752,0.11402716456160095,0.00965865560037799
