Datetime,OPEN,HIGH,LOW,CLOSE,VOLUME
1992-02-21 20:00:00,8.6875,8.6875,8.5,8.625,360800
1992-02-24 20:00:00,8.5,8.5,8.25,8.4375,305400
1992-02-25 20:00:00,8.4375,8.4375,8.25,8.25,547800
1992-02-26 20:00:00,8.125,8.25,8.125,8.1875,336200
1992-02-27 20:00:00,8.125,8.4375,8.125,8.375,513800
1992-02-28 20:00:00,8.375,8.5625,8.375,8.5,804600
1992-03-02 20:00:00,8.5,8.5625,8.375,8.5,459200
1992-03-03 20:00:00,8.5,8.5625,8.5,8.5625,234600
1992-03-04 20:00:00,8.5,8.5625,8.4375,8.5,393600
1992-03-05 20:00:00,8.4375,8.5,8.4375,8.4375,339400
1992-03-06 20:00:00,8.25,8.5,8.25,8.4375,840200
1992-03-09 20:00:00,8.4375,8.4375,8.25,8.3125,171600
1992-03-10 20:00:00,8.3125,8.3125,8.125,8.125,328000
1992-03-11 20:00:00,8.0625,8.3125,7.9375,8.3125,479800
1992-03-12 20:00:00,8.25,8.375,8.25,8.3125,340200
1992-03-13 20:00:00,8.375,8.4375,8.3125,8.375,356600
1992-03-16 20:00:00,8.375,8.5,8.3125,8.5,425800
1992-03-17 20:00:00,8.5,8.625,8.4375,8.625,304800
1992-03-18 20:00:00,8.625,9.0625,8.625,9.0,1329000
1992-03-19 20:00:00,8.875,9.0625,8.75,8.9375,497800
1992-03-20 20:00:00,8.9375,9.0625,8.875,8.9375,326800
1992-03-23 20:00:00,8.9375,9.375,8.9375,9.375,464800
1992-03-24 20:00:00,9.0625,9.25,9.0625,9.125,356600
1992-03-25 20:00:00,9.125,9.125,8.8125,9.0,373200
1992-03-26 20:00:00,8.875,9.125,8.875,8.9375,381600
1992-03-27 20:00:00,8.9375,9.0,8.8125,8.875,385000
1992-03-30 20:00:00,8.75,9.0,8.6875,8.8125,246800
1992-03-31 20:00:00,8.75,8.8125,8.6875,8.75,134800
1992-04-01 20:00:00,8.6875,8.875,8.625,8.8125,275800
1992-04-02 20:00:00,8.8125,8.9375,8.75,8.8125,307200
1992-04-03 20:00:00,8.8125,9.0,8.75,8.9375,385600
1992-04-06 19:00:00,8.875,8.9375,8.8125,8.875,470400
1992-04-07 19:00:00,9.1875,9.3125,9.0625,9.25,558200
1992-04-08 19:00:00,9.1875,9.1875,8.8125,8.9375,218800
1992-04-09 19:00:00,8.9375,9.0,8.8125,8.875,120200
1992-04-10 19:00:00,8.875,9.0625,8.8125,9.0,333400
1992-04-13 19:00:00,9.0625,9.0625,8.9375,9.0,185000
1992-04-14 19:00:00,9.0,9.1875,8.9375,9.125,339800
1992-04-15 19:00:00,9.125,9.5625,9.0625,9.5,1016400
1992-04-16 19:00:00,9.625,9.6875,9.125,9.5,662400
1992-04-20 19:00:00,9.4375,9.5,9.3125,9.5,221800
1992-04-21 19:00:00,9.375,9.4375,9.25,9.25,124600
1992-04-22 19:00:00,9.3125,9.3125,9.1875,9.25,135200
1992-04-23 19:00:00,9.125,9.375,9.125,9.375,304200
1992-04-24 19:00:00,9.375,9.4375,9.1875,9.1875,176400
1992-04-27 19:00:00,9.0625,9.125,8.9375,9.0625,252600
1992-04-28 19:00:00,9.0,9.125,8.9375,8.9375,339600
1992-04-29 19:00:00,9.0,9.3125,9.0,9.3125,382600
1992-04-30 19:00:00,9.25,9.375,9.1875,9.3125,210400
1992-05-01 19:00:00,9.25,9.3125,9.1875,9.3125,128400
1992-05-04 19:00:00,9.1875,9.3125,9.125,9.1875,207200
1992-05-05 19:00:00,9.0625,9.1875,9.0625,9.125,350600
1992-05-06 19:00:00,9.1875,9.1875,9.125,9.125,299400
1992-05-07 19:00:00,9.0625,9.3125,9.0625,9.3125,320800
1992-05-08 19:00:00,9.25,9.25,9.1875,9.25,406600
1992-05-11 19:00:00,9.25,9.4375,9.25,9.375,825800
1992-05-12 19:00:00,9.25,9.3125,9.1875,9.1875,359000
1992-05-13 19:00:00,9.1875,9.1875,9.125,9.1875,362200
1992-05-14 19:00:00,9.0625,9.25,9.0,9.125,440600
1992-05-15 19:00:00,9.1875,9.25,9.125,9.1875,40800
1992-05-18 19:00:00,9.0,9.0625,8.9375,9.0625,87000
1992-05-19 19:00:00,9.0,9.25,9.0,9.25,163000
1992-05-20 19:00:00,9.1875,9.1875,8.875,8.875,185600
1992-05-21 19:00:00,8.875,8.9375,8.6875,8.875,220600
1992-05-22 19:00:00,8.8125,9.125,8.8125,9.0625,176800
1992-05-26 19:00:00,9.0625,9.0625,8.8125,8.875,92400
1992-05-27 19:00:00,8.8125,8.875,8.4375,8.5,234600
1992-05-28 19:00:00,8.625,8.8125,8.5,8.8125,439200
1992-05-29 19:00:00,8.8125,9.0625,8.8125,8.875,223400
1992-06-01 19:00:00,8.875,8.875,8.625,8.6875,289400
1992-06-02 19:00:00,8.6875,8.875,8.625,8.8125,166200
1992-06-03 19:00:00,8.6875,8.6875,8.375,8.4375,449000
1992-06-04 19:00:00,8.4375,8.5,8.125,8.1875,833600
1992-06-05 19:00:00,8.0,8.0625,7.625,7.8125,596200
1992-06-08 19:00:00,7.875,8.4375,7.875,8.25,637600
1992-06-09 19:00:00,8.1875,8.25,7.8125,8.0625,342600
1992-06-10 19:00:00,8.125,8.25,8.0625,8.0625,292600
1992-06-11 19:00:00,8.0625,8.125,7.9375,8.0,165000
1992-06-12 19:00:00,8.0,8.0,7.5,7.75,484600
1992-06-15 19:00:00,7.75,7.8125,7.5625,7.75,272400
1992-06-16 19:00:00,7.8125,7.9375,7.6875,7.8125,376000
1992-06-17 19:00:00,7.75,7.8125,7.4375,7.625,459400
1992-06-18 19:00:00,7.5625,7.75,7.25,7.25,544000
1992-06-19 19:00:00,7.25,7.4375,7.25,7.3125,459600
1992-06-22 19:00:00,7.3125,7.4375,7.1875,7.25,387800
1992-06-23 19:00:00,7.3125,7.5,7.1875,7.5,489200
1992-06-24 19:00:00,7.5,7.8125,7.5,7.75,567600
1992-06-25 19:00:00,7.6875,7.9375,7.625,7.875,491800
1992-06-26 19:00:00,7.75,7.75,7.625,7.6875,469400
1992-06-29 19:00:00,7.6875,7.8125,7.6875,7.8125,317200
1992-06-30 19:00:00,7.8125,8.1875,7.75,8.1875,293800
1992-07-01 19:00:00,8.0625,8.1875,7.875,7.9375,426200
1992-07-02 19:00:00,8.0,8.0,7.75,7.875,490800
1992-07-06 19:00:00,7.875,7.9375,7.6875,7.75,292200
1992-07-07 19:00:00,7.75,7.75,7.5,7.625,410600
1992-07-08 19:00:00,7.625,7.625,7.1875,7.5,677400
1992-07-09 19:00:00,7.5625,7.8125,7.5625,7.75,490200
1992-07-10 19:00:00,7.625,7.75,7.5625,7.625,473600
1992-07-13 19:00:00,7.75,7.875,7.6875,7.75,373800
1992-07-14 19:00:00,7.8125,7.875,7.6875,7.875,184800
1992-07-15 19:00:00,7.8125,7.875,7.6875,7.8125,162400
1992-07-16 19:00:00,7.8125,7.875,7.6875,7.75,362600
1992-07-17 19:00:00,7.6875,7.8125,7.6875,7.6875,502600
1992-07-20 19:00:00,7.75,7.8125,7.625,7.625,281400
1992-07-21 19:00:00,7.625,7.625,7.4375,7.5625,485800
1992-07-22 19:00:00,7.5625,7.8125,7.5,7.6875,603800
1992-07-23 19:00:00,7.6875,7.6875,7.5,7.5625,224600
1992-07-24 19:00:00,7.5,7.5625,7.375,7.5,225000
1992-07-27 19:00:00,7.5,7.6875,7.4375,7.5625,145200
1992-07-28 19:00:00,7.6875,7.6875,7.5,7.5625,373200
1992-07-29 19:00:00,7.5,7.8125,7.5,7.75,325000
1992-07-30 19:00:00,7.6875,7.8125,7.625,7.75,374800
1992-07-31 19:00:00,7.8125,7.8125,7.6875,7.8125,249800
1992-08-03 19:00:00,7.9375,8.0625,7.8125,8.0625,938800
1992-08-04 19:00:00,8.0625,8.0625,7.875,7.9375,219200
1992-08-05 19:00:00,7.9375,7.9375,7.875,7.9375,210600
1992-08-06 19:00:00,7.9375,8.25,7.9375,8.25,839200
1992-08-07 19:00:00,8.25,8.375,8.0,8.0,686200
1992-08-10 19:00:00,7.9375,8.0625,7.875,7.875,529800
1992-08-11 19:00:00,7.75,7.875,7.6875,7.75,398600
1992-08-12 19:00:00,7.6875,7.875,7.6875,7.8125,257400
1992-08-13 19:00:00,7.875,7.9375,7.8125,7.9375,485600
1992-08-14 19:00:00,7.9375,8.0625,7.9375,8.0,875400
1992-08-17 19:00:00,8.0,8.0625,8.0,8.0625,151600
1992-08-18 19:00:00,8.0,8.1875,8.0,8.0,523400
1992-08-19 19:00:00,8.0,8.0,7.875,7.9375,264000
1992-08-20 19:00:00,7.8125,8.0,7.8125,7.9375,227200
1992-08-21 19:00:00,8.0625,8.0625,7.9375,7.9375,112400
1992-08-24 19:00:00,7.875,8.0,7.8125,7.8125,121600
1992-08-25 19:00:00,7.875,7.875,7.8125,7.8125,71400
1992-08-26 19:00:00,7.875,8.0,7.875,8.0,113400
1992-08-27 19:00:00,8.0,8.0,7.8125,7.875,243800
1992-08-28 19:00:00,7.875,8.0625,7.875,8.0,104200
1992-08-31 19:00:00,8.0,8.125,7.875,8.125,101200
1992-09-01 19:00:00,8.125,8.125,8.0,8.0625,126400
1992-09-02 19:00:00,8.0,8.5625,8.0,8.25,311400
1992-09-03 19:00:00,8.25,8.3125,8.0,8.0,101400
1992-09-04 19:00:00,7.9375,8.0625,7.875,7.9375,547000
1992-09-08 19:00:00,8.0625,8.25,8.0,8.125,214800
1992-09-09 19:00:00,8.1875,8.1875,8.0,8.1875,48600
1992-09-10 19:00:00,8.125,8.1875,7.9375,8.0625,98000
1992-09-11 19:00:00,8.0,8.0625,7.9375,7.9375,186800
1992-09-14 19:00:00,8.0625,8.375,8.0,8.3125,220600
1992-09-15 19:00:00,8.25,8.4375,8.25,8.4375,163600
1992-09-16 19:00:00,8.3125,8.3125,8.125,8.3125,352400
1992-09-17 19:00:00,8.3125,8.3125,8.125,8.125,286800
1992-09-18 19:00:00,8.0,8.125,7.9375,8.0,289400
1992-09-21 19:00:00,7.9375,8.25,7.9375,8.1875,179000
1992-09-22 19:00:00,8.125,8.1875,7.9375,7.9375,249000
1992-09-23 19:00:00,8.0625,8.0625,7.9375,7.9375,544200
1992-09-24 19:00:00,7.9375,8.0,7.9375,8.0,58400
1992-09-25 19:00:00,8.0,8.0,7.875,7.875,195200
1992-09-28 19:00:00,7.875,8.0,7.875,7.875,85400
1992-09-29 19:00:00,7.875,7.9375,7.75,7.9375,280000
1992-09-30 19:00:00,7.875,7.9375,7.8125,7.9375,279200
1992-10-01 19:00:00,7.9375,7.9375,7.6875,7.6875,343200
1992-10-02 19:00:00,7.6875,7.75,7.5,7.625,220600
1992-10-05 19:00:00,7.5625,7.6875,7.4375,7.5,511800
1992-10-06 19:00:00,7.625,7.625,7.4375,7.5,393200
1992-10-07 19:00:00,7.5,7.5,7.375,7.4375,106600
1992-10-08 19:00:00,7.375,7.4375,7.375,7.375,47800
1992-10-09 19:00:00,7.4375,7.4375,7.3125,7.4375,219000
1992-10-12 19:00:00,7.3125,7.375,7.3125,7.375,132400
1992-10-13 19:00:00,7.375,7.375,7.3125,7.3125,208400
1992-10-14 19:00:00,7.375,7.4375,7.3125,7.375,242400
1992-10-15 19:00:00,7.4375,7.5,7.375,7.375,266600
1992-10-16 19:00:00,7.4375,7.5,7.3125,7.5,74600
1992-10-19 19:00:00,7.5,8.0625,7.5,8.0625,409000
1992-10-20 19:00:00,8.0,8.4375,8.0,8.4375,400600
1992-10-21 19:00:00,8.4375,8.8125,8.375,8.5625,656800
1992-10-22 19:00:00,8.4375,8.5,8.375,8.375,149800
1992-10-23 19:00:00,8.375,8.4375,8.1875,8.25,113600
1992-10-26 20:00:00,8.3125,8.3125,8.0,8.25,78400
1992-10-27 20:00:00,8.25,8.3125,8.0625,8.125,65600
1992-10-28 20:00:00,8.25,8.5,8.1875,8.4375,210200
1992-10-29 20:00:00,8.4375,9.0,8.4375,8.8125,655000
1992-10-30 20:00:00,8.6875,8.75,8.625,8.6875,97400
1992-11-02 20:00:00,8.6875,8.9375,8.5625,8.8125,203400
1992-11-03 20:00:00,8.875,8.9375,8.75,8.8125,203200
1992-11-04 20:00:00,8.875,8.875,8.375,8.4375,280800
1992-11-05 20:00:00,8.5,8.5625,8.1875,8.5625,476400
1992-11-06 20:00:00,8.5625,8.9375,8.5625,8.9375,126600
1992-11-09 20:00:00,8.875,8.9375,8.875,8.9375,411200
1992-11-10 20:00:00,8.9375,8.9375,8.75,8.75,146800
1992-11-11 20:00:00,8.75,9.125,8.75,9.0,360000
1992-11-12 20:00:00,8.875,8.9375,8.8125,8.9375,146600
1992-11-13 20:00:00,8.9375,8.9375,8.75,8.875,133200
1992-11-16 20:00:00,9.4375,9.4375,9.1875,9.1875,694200
1992-11-17 20:00:00,9.1875,9.375,9.1875,9.25,587000
1992-11-18 20:00:00,9.25,9.3125,9.1875,9.3125,511600
1992-11-19 20:00:00,9.25,9.375,9.25,9.375,320800
1992-11-20 20:00:00,9.375,9.4375,9.25,9.375,748600
1992-11-23 20:00:00,9.3125,9.375,9.25,9.25,267400
1992-11-24 20:00:00,9.25,9.4375,9.25,9.3125,756400
1992-11-25 20:00:00,9.3125,9.4375,9.3125,9.4375,295000
1992-11-27 20:00:00,9.375,9.4375,9.3125,9.375,243200
1992-11-30 20:00:00,9.375,9.375,9.3125,9.375,496600
1992-12-01 20:00:00,9.375,9.4375,9.3125,9.4375,712200
1992-12-02 20:00:00,9.4375,9.4375,9.3125,9.375,483400
1992-12-03 20:00:00,9.375,9.4375,9.375,9.375,220000
1992-12-04 20:00:00,9.375,9.5,9.375,9.4375,182400
1992-12-07 20:00:00,9.5,9.5,9.4375,9.5,258200
1992-12-08 20:00:00,9.4375,9.5,9.4375,9.5,272800
1992-12-09 20:00:00,9.5,9.5625,9.4375,9.4375,523400
1992-12-10 20:00:00,9.5,9.5,9.4375,9.4375,321400
1992-12-11 20:00:00,9.4375,9.5,9.375,9.4375,639200
1992-12-14 20:00:00,9.5,9.5625,9.4375,9.5,807200
1992-12-15 20:00:00,9.5,9.5625,9.5,9.5625,285200
1992-12-16 20:00:00,9.625,9.875,9.625,9.6875,277600
1992-12-17 20:00:00,9.75,10.0625,9.6875,9.9375,356200
1992-12-18 20:00:00,9.9375,10.0625,9.8125,9.9375,479400
1992-12-21 20:00:00,9.875,10.0,9.6875,9.9375,441600
1992-12-22 20:00:00,9.875,9.875,9.625,9.8125,224800
1992-12-23 20:00:00,9.6875,9.75,9.5,9.625,183600
1992-12-24 20:00:00,9.625,9.75,9.625,9.75,24800
1992-12-28 20:00:00,9.75,9.8125,9.625,9.8125,108800
1992-12-29 20:00:00,9.8125,9.8125,9.6875,9.75,117600
1992-12-30 20:00:00,9.8125,9.8125,9.75,9.8125,211200
1992-12-31 20:00:00,9.875,10.3125,9.875,10.3125,169200
1993-01-04 20:00:00,10.3125,10.5625,10.25,10.25,325400
1993-01-05 20:00:00,10.1875,10.1875,10.125,10.125,162200
1993-01-06 20:00:00,10.125,10.1875,9.875,10.0,157200
1993-01-07 20:00:00,10.0625,10.375,10.0,10.3125,449000
1993-01-08 20:00:00,10.25,10.25,9.9375,10.25,335200
1993-01-11 20:00:00,10.3125,10.375,10.0,10.1875,387600
1993-01-12 20:00:00,10.125,10.125,9.9375,10.0625,142200
1993-01-13 20:00:00,10.0625,10.0625,9.8125,10.0,312800
1993-01-14 20:00:00,9.9375,10.0,9.8125,9.875,244600
1993-01-15 20:00:00,9.9375,9.9375,9.75,9.75,252200
1993-01-18 20:00:00,9.8125,10.125,9.75,10.0625,259600
1993-01-19 20:00:00,10.1875,10.1875,10.0,10.0625,424000
1993-01-20 20:00:00,10.125,10.3125,10.0625,10.1875,316000
1993-01-21 20:00:00,10.125,10.6875,10.125,10.5625,312400
