Datetime,OPEN,HIGH,LOW,CLOSE,VOLUME
1992-02-21 20:00:00,7.0625,7.0625,7.0,7.0625,6800
1992-02-24 20:00:00,7.0,7.0625,7.0,7.0,4200
1992-02-25 20:00:00,7.0625,7.0625,6.9375,6.9375,11400
1992-02-26 20:00:00,7.0,7.0,6.9375,7.0,56800
1992-02-27 20:00:00,7.0,7.0625,6.9375,7.0,14800
1992-02-28 20:00:00,7.0,7.125,7.0,7.0625,31800
1992-03-02 20:00:00,7.125,7.125,7.0625,7.125,33800
1992-03-03 20:00:00,7.125,7.125,6.9375,7.0,13200
1992-03-04 20:00:00,7.0,7.0,6.9375,6.9375,4200
1992-03-05 20:00:00,6.875,6.9375,6.8125,6.8125,17000
1992-03-06 20:00:00,6.8125,6.8125,6.75,6.8125,19000
1992-03-09 20:00:00,6.75,6.75,6.6875,6.75,22400
1992-03-10 20:00:00,6.6875,7.0,6.6875,6.9375,32800
1992-03-11 20:00:00,6.875,6.9375,6.875,6.9375,4000
1992-03-12 20:00:00,6.875,6.9375,6.875,6.9375,18600
1992-03-13 20:00:00,6.875,6.9375,6.875,6.9375,18200
1992-03-16 20:00:00,6.9375,6.9375,6.875,6.9375,24400
1992-03-17 20:00:00,6.9375,6.9375,6.875,6.9375,7200
1992-03-18 20:00:00,6.9375,6.9375,6.8125,6.8125,20200
1992-03-19 20:00:00,6.8125,6.8125,6.6875,6.6875,18400
1992-03-20 20:00:00,6.75,6.8125,6.625,6.6875,47400
1992-03-23 20:00:00,6.6875,6.6875,6.625,6.6875,12000
1992-03-24 20:00:00,6.625,6.75,6.625,6.6875,85400
1992-03-25 20:00:00,6.6875,7.125,6.6875,7.0625,33600
1992-03-26 20:00:00,7.0,7.0,7.0,7.0,11200
1992-03-27 20:00:00,7.0625,7.0625,7.0,7.0625,11000
1992-03-30 20:00:00,7.0,7.0625,7.0,7.0625,18000
1992-03-31 20:00:00,7.125,7.25,7.125,7.125,29800
1992-04-01 20:00:00,7.1875,7.25,7.1875,7.1875,23600
1992-04-02 20:00:00,7.25,7.25,7.125,7.125,30600
1992-04-03 20:00:00,7.0625,7.1875,7.0625,7.125,23400
1992-04-06 19:00:00,7.25,7.25,7.125,7.125,28800
1992-04-07 19:00:00,7.25,7.25,7.125,7.125,11800
1992-04-08 19:00:00,7.125,7.1875,7.0,7.0,26800
1992-04-09 19:00:00,7.0,7.1875,7.0,7.0625,33200
1992-04-10 19:00:00,7.1875,7.4375,7.1875,7.375,53200
1992-04-13 19:00:00,7.375,7.5,7.375,7.5,38000
1992-04-14 19:00:00,7.5,7.6875,7.5,7.625,13000
1992-04-15 19:00:00,7.625,7.875,7.625,7.8125,34800
1992-04-16 19:00:00,7.75,7.875,7.625,7.75,81600
1992-04-20 19:00:00,7.75,7.75,7.625,7.625,27200
