Datetime,OPEN,HIGH,LOW,CLOSE,VOLUME
1992-02-19 20:00:00,0.0,3.125,3.0,3.0,0
1992-02-20 20:00:00,0.0,3.125,3.0,3.0,0
1992-02-21 20:00:00,0.0,3.125,3.0,3.0,98800
1992-02-24 20:00:00,0.0,3.125,3.0,3.0,32400
1992-02-25 20:00:00,0.0,3.125,3.0,3.0,47200
1992-02-26 20:00:00,0.0,3.125,3.0,3.0,70000
1992-02-27 20:00:00,0.0,3.125,3.0,3.0,71600
1992-02-28 20:00:00,0.0,3.125,3.0,3.0,71200
1992-03-02 20:00:00,0.0,3.125,2.9375,2.9375,64800
1992-03-03 20:00:00,0.0,3.125,2.9375,2.9375,72800
1992-03-04 20:00:00,0.0,3.0625,2.9375,2.9375,16400
1992-03-05 20:00:00,0.0,3.0,2.875,2.875,56000
1992-03-06 20:00:00,0.0,3.0,2.875,2.875,15600
1992-03-09 20:00:00,0.0,2.8125,2.6875,2.6875,112400
1992-03-10 20:00:00,0.0,2.8125,2.6875,2.6875,48400
1992-03-11 20:00:00,0.0,2.75,2.625,2.625,190000
1992-03-12 20:00:00,0.0,2.75,2.625,2.625,116400
1992-03-13 20:00:00,0.0,2.9375,2.8125,2.8125,104400
1992-03-16 20:00:00,0.0,2.9375,2.875,2.875,71200
1992-03-17 20:00:00,0.0,3.0625,2.9375,2.9375,112800
1992-03-18 20:00:00,0.0,3.0625,2.875,2.875,63600
1992-03-19 20:00:00,0.0,3.0625,2.875,2.875,13200
1992-03-20 20:00:00,0.0,2.9375,2.75,2.75,60400
1992-03-23 20:00:00,0.0,2.75,2.625,2.625,85600
1992-03-24 20:00:00,0.0,2.75,2.5625,2.5625,38000
1992-03-25 20:00:00,0.0,2.625,2.5,2.5,68000
1992-03-26 20:00:00,0.0,2.5625,2.375,2.375,145600
1992-03-27 20:00:00,0.0,2.5,2.375,2.375,88400
1992-03-30 20:00:00,0.0,2.5625,2.375,2.375,71600
1992-03-31 20:00:00,0.0,2.5625,2.375,2.375,151200
1992-04-01 20:00:00,0.0,2.5625,2.375,2.375,109200
1992-04-02 20:00:00,0.0,2.625,2.4375,2.4375,172800
1992-04-03 20:00:00,0.0,2.625,2.4375,2.4375,105600
1992-04-05 20:00:00,0.0,2.625,2.4375,2.4375,30800
